501 800
1 2 142
1 3 449
1 4 621
1 5 634
2 6 60
3 6 806
4 6 518
5 6 937
6 7 596
6 8 780
6 9 674
6 10 496
7 11 155
8 11 453
9 11 441
10 11 446
11 12 698
11 13 726
11 14 91
11 15 801
12 16 752
13 16 733
14 16 256
15 16 613
16 17 31
16 18 333
16 19 746
16 20 2
17 21 328
18 21 517
19 21 950
20 21 469
21 22 318
21 23 570
21 24 454
21 25 377
22 26 727
23 26 971
24 26 665
25 26 674
26 27 102
26 28 339
26 29 170
26 30 608
27 31 791
28 31 610
29 31 405
30 31 840
31 32 687
31 33 847
31 34 640
31 35 438
32 36 579
33 36 248
34 36 403
35 36 610
36 37 580
36 38 148
36 39 963
36 40 259
37 41 17
38 41 264
39 41 727
40 41 334
41 42 833
41 43 532
41 44 62
41 45 911
42 46 854
43 46 727
44 46 937
45 46 308
46 47 65
46 48 106
46 49 267
46 50 207
47 51 715
48 51 672
49 51 47
50 51 402
51 52 518
51 53 38
51 54 191
51 55 97
52 56 285
53 56 593
54 56 58
55 56 864
56 57 93
56 58 372
56 59 122
56 60 109
57 61 636
58 61 200
59 61 794
60 61 820
61 62 83
61 63 855
61 64 83
61 65 289
62 66 581
63 66 19
64 66 596
65 66 645
66 67 124
66 68 862
66 69 204
66 70 190
67 71 885
68 71 250
69 71 943
70 71 403
71 72 287
71 73 486
71 74 851
71 75 924
72 76 430
73 76 260
74 76 787
75 76 522
76 77 983
76 78 261
76 79 630
76 80 618
77 81 460
78 81 775
79 81 790
80 81 895
81 82 630
81 83 872
81 84 183
81 85 210
82 86 890
83 86 778
84 86 207
85 86 365
86 87 991
86 88 410
86 89 906
86 90 876
87 91 11
88 91 849
89 91 278
90 91 649
91 92 334
91 93 480
91 94 572
91 95 763
92 96 91
93 96 359
94 96 637
95 96 73
96 97 971
96 98 618
96 99 43
96 100 430
97 101 393
98 101 832
99 101 676
100 101 22
101 102 55
101 103 858
101 104 583
101 105 296
102 106 635
103 106 789
104 106 12
105 106 978
106 107 198
106 108 917
106 109 853
106 110 560
107 111 117
108 111 482
109 111 209
110 111 450
111 112 313
111 113 780
111 114 565
111 115 403
112 116 490
113 116 553
114 116 475
115 116 460
116 117 170
116 118 869
116 119 242
116 120 914
117 121 700
118 121 917
119 121 935
120 121 754
121 122 127
121 123 870
121 124 401
121 125 113
122 126 658
123 126 412
124 126 90
125 126 208
126 127 329
126 128 942
126 129 767
126 130 445
127 131 775
128 131 975
129 131 247
130 131 87
131 132 107
131 133 163
131 134 489
131 135 596
132 136 67
133 136 316
134 136 408
135 136 236
136 137 184
136 138 649
136 139 502
136 140 236
137 141 917
138 141 788
139 141 341
140 141 43
141 142 657
141 143 742
141 144 156
141 145 315
142 146 505
143 146 597
144 146 874
145 146 833
146 147 539
146 148 640
146 149 630
146 150 665
147 151 967
148 151 228
149 151 752
150 151 73
151 152 390
151 153 592
151 154 20
151 155 456
152 156 259
153 156 427
154 156 43
155 156 795
156 157 427
156 158 544
156 159 30
156 160 344
157 161 332
158 161 722
159 161 738
160 161 340
161 162 815
161 163 245
161 164 6
161 165 320
162 166 842
163 166 879
164 166 504
165 166 732
166 167 871
166 168 133
166 169 396
166 170 837
167 171 360
168 171 147
169 171 261
170 171 101
171 172 91
171 173 280
171 174 556
171 175 349
172 176 707
173 176 951
174 176 143
175 176 133
176 177 846
176 178 524
176 179 828
176 180 529
177 181 598
178 181 566
179 181 869
180 181 412
181 182 162
181 183 874
181 184 731
181 185 3
182 186 105
183 186 235
184 186 86
185 186 975
186 187 719
186 188 482
186 189 811
186 190 79
187 191 980
188 191 71
189 191 179
190 191 70
191 192 350
191 193 87
191 194 771
191 195 408
192 196 37
193 196 265
194 196 541
195 196 234
196 197 141
196 198 720
196 199 763
196 200 738
197 201 637
198 201 631
199 201 149
200 201 799
201 202 856
201 203 880
201 204 801
201 205 960
202 206 466
203 206 239
204 206 934
205 206 184
206 207 720
206 208 96
206 209 614
206 210 51
207 211 518
208 211 145
209 211 473
210 211 220
211 212 231
211 213 243
211 214 627
211 215 619
212 216 859
213 216 519
214 216 852
215 216 999
216 217 239
216 218 614
216 219 736
216 220 875
217 221 596
218 221 885
219 221 673
220 221 452
221 222 116
221 223 826
221 224 411
221 225 933
222 226 64
223 226 697
224 226 468
225 226 135
226 227 792
226 228 82
226 229 185
226 230 310
227 231 226
228 231 657
229 231 881
230 231 808
231 232 251
231 233 507
231 234 426
231 235 110
232 236 378
233 236 629
234 236 460
235 236 616
236 237 595
236 238 196
236 239 842
236 240 190
237 241 432
238 241 867
239 241 993
240 241 899
241 242 692
241 243 756
241 244 831
241 245 107
242 246 452
243 246 650
244 246 593
245 246 595
246 247 731
246 248 777
246 249 256
246 250 308
247 251 786
248 251 136
249 251 115
250 251 36
251 252 995
251 253 892
251 254 497
251 255 372
252 256 521
253 256 957
254 256 339
255 256 115
256 257 504
256 258 180
256 259 656
256 260 935
257 261 46
258 261 1
259 261 833
260 261 89
261 262 756
261 263 15
261 264 547
261 265 559
262 266 664
263 266 139
264 266 505
265 266 747
266 267 268
266 268 761
266 269 54
266 270 53
267 271 248
268 271 169
269 271 440
270 271 242
271 272 60
271 273 289
271 274 965
271 275 932
272 276 245
273 276 303
274 276 398
275 276 748
276 277 835
276 278 406
276 279 34
276 280 232
277 281 406
278 281 218
279 281 321
280 281 513
281 282 232
281 283 219
281 284 71
281 285 247
282 286 358
283 286 575
284 286 345
285 286 977
286 287 687
286 288 399
286 289 381
286 290 935
287 291 919
288 291 820
289 291 528
290 291 330
291 292 460
291 293 493
291 294 262
291 295 704
292 296 795
293 296 659
294 296 803
295 296 981
296 297 64
296 298 836
296 299 213
296 300 821
297 301 53
298 301 885
299 301 333
300 301 636
301 302 103
301 303 755
301 304 235
301 305 812
302 306 682
303 306 579
304 306 788
305 306 720
306 307 977
306 308 168
306 309 654
306 310 247
307 311 340
308 311 182
309 311 577
310 311 799
311 312 674
311 313 838
311 314 855
311 315 820
312 316 848
313 316 9
314 316 801
315 316 264
316 317 845
316 318 365
316 319 84
316 320 249
317 321 249
318 321 769
319 321 237
320 321 351
321 322 875
321 323 471
321 324 163
321 325 556
322 326 49
323 326 302
324 326 628
325 326 378
326 327 822
326 328 281
326 329 624
326 330 513
327 331 814
